Part_No	Part_Type	Part_Category	Description	Manufacturer	Cylinders	Liters	CCs	Stroke	Rod	Main	Front_Seal_Dia	Rear_Seal_Dia	Bore	Connect_Rod_Len	Camshaft	Valves	Casting_No	Trans_Speed	Trans_Type	Notes	Application_Start_Yr	Application_End_Yr	Metal	KB_Product_Code	On_Hand	Price
CKCH43BA	Engine Part	Crankshaft	1174N*O12 4.3L 2 PC. SEAL	Chevrolet		4.3L														C					Call for inventory	35
CKCH43BB	Engine Part	Crankshaft	480+ *O12 1 PC.SEAL NO BAL.HOL	Chevrolet		4.3L														FI					Call for inventory	40
CKCH43BC	Engine Part	Crankshaft	480+ *O12 1 PC. W/BAL.HOLE	Chevrolet		4.3L														FI					Call for inventory	40
CKCH43BD	Engine Part	Crankshaft	255 *O12 V6	Chevrolet		4.3L														FI					Call for inventory	75
CKCH43BE	Engine Part	Crankshaft	236 *O12 V6	Chevrolet		4.3L														FI					Call for inventory	75
CKCH43CA	Engine Part	Crankshaft	568 *O16 265 CID V8 GEN.II	Chevrolet		4.3L														FI					Call for inventory	25
CKCH46AA	Engine Part	Crankshaft	236+ *O16 283 CID STEEL +266	Chevrolet		4.6L														C					Call for inventory	50
CKCH46AB	Engine Part	Crankshaft	768 *O16 283 CID +847	Chevrolet		4.6L														C					Call for inventory	50
CKCH48AA	Engine Part	Crankshaft	"""880N+*O12 292 CID W/ 7/16""""H.BO"""	Chevrolet		4.8L														C					Call for inventory	60
CKCH48AB	Engine Part	Crankshaft	"""363+ *O12 292 CID W/ 1/2""""H.BOL"""	Chevrolet		4.8L																			Call for inventory	60
CKCH48BA	Engine Part	Crankshaft	"""312 *O16 GEN.III S=3.268""""1.25"""	Chevrolet		4.8L														FI					Call for inventory	100
CKCH48BB	Engine Part	Crankshaft	"""482 *O16 GEN.III 3/4""""FLANGE"""	Chevrolet		4.8L														FI					Call for inventory	100
CKCH50BA	Engine Part	Crankshaft	1174 *016 307/327CID V8	Chevrolet		5.0L														C					Call for inventory	50
CKCH53AA	Engine Part	Crankshaft	577+ *O16 327 CID STEEL +680	Chevrolet		5.3L														C					Call for inventory	75
CKCH53BA	Engine Part	Crankshaft	C	Chevrolet		5.3L														FI					Call for inventory	100
CKCH57AA	Engine Part	Crankshaft	692 *O16 348CID STL.M2.489 R2	Chevrolet		5.7L																			Call for inventory	75
CKCH57BA	Engine Part	Crankshaft	442+ *O16 305/350 CID 2PC.	Chevrolet		5.7L														C					Call for inventory	35
CKCH57BB	Engine Part	Crankshaft	182+ *O16 350 CID 2PC.STEEL +6	Chevrolet		5.7L														C					Call for inventory	175
CKCH57BC	Engine Part	Crankshaft	526+ *O16 305/350CID 1 PC.1.62	Chevrolet		5.7L																			Call for inventory	45
CKCH57BE	Engine Part	Crankshaft	532 *O16 350 CID 1PC.STEEL	Chevrolet		5.7L														FI					Call for inventory	150
CKCH57PB	Engine Part	Crankshaft	122 *D32 346 CID STEEL ZR-1	Chevrolet		5.7L														EFI					Call for inventory	250
CKCH57PC	Engine Part	Crankshaft	089+ *O16 346 CID +216	Chevrolet		5.7L														FI					Call for inventory	100
CKCH60AA	Engine Part	Crankshaft	115+ *O16 366/427CID 2PC.	Chevrolet		6.0L														C					Call for inventory	100
CKCH60AB	Engine Part	Crankshaft	187 *O12 366 CID 1PC	Chevrolet		6.0L														EFI					Call for inventory	100
