Part_No	Part_Type	Part_Category	Description	Manufacturer	Cylinders	Liters	CID	Stroke	Rod	Main	Front_Seal_Dia	Rear_Seal_Dia	Bore	Connect_Rod_Len	Camshaft	Valves	Casting_No	Trans_Speed	Trans_Type	Notes	Application_Start_Yr	Application_End_Yr	Metal	KB_Product_Code	On_Hand	Price
12A582B	Transmission Part	Planetary	PLANET FRONT-4 PIN.-WIDE	"Dodge, Chrysler"															A904+	no notes available yet				600	Call for inventory	18
12A582BX1	Transmission Part	Planetary	PLANET FRONT-4 PIN.-WIDE	"Dodge, Chrysler"															A904+	no notes available yet				600	Call for inventory	18
12A582C	Transmission Part	Planetary	PLANET-FRONT-STEEL-3 PIN	"Dodge, Chrysler"															A904	no notes available yet				600	Call for inventory	18
12A584	Transmission Part	Planetary	PLANET-REAR-STEEL-3 PIN.	"Dodge, Chrysler"															A904+	no notes available yet				600	Call for inventory	18
12A584A	Transmission Part	Planetary	PLANET-REAR-ALUM.-4 PIN.	"Dodge, Chrysler"															A904	no notes available yet				600	Call for inventory	20
12A584AA	Transmission Part	Planetary	PLANET-REAR-ALUM.-3 PIN.	"Dodge, Chrysler"															A904+	no notes available yet				600	Call for inventory	18
12A584B	Transmission Part	Planetary	PLANET-REAR-STEEL-4 PIN.	"Dodge, Chrysler"															A904+	no notes available yet				600	Call for inventory	20
12A584BKR																								600		
12A584BX1	Transmission Part	Planetary	PLANET-REAR-STEEL-4 PIN.	"Dodge, Chrysler"															A904+	no notes available yet				600	Call for inventory	20
12A584X1	Transmission Part	Planetary	PLANET-REAR-STEEL-3 PIN.	"Dodge, Chrysler"															A904+	no notes available yet				600	Call for inventory	18
12A590A			RING GEAR-O/D W/22 PITCH	"Dodge, Chrysler"															A500+	no notes available yet				600	Call for inventory	20
12A590AA			RING GEAR-O/D W/ STRAIGH	"Dodge, Chrysler"															A500+	no notes available yet				600	Call for inventory	35
12A590AB			RING GEAR-O/D W/15 PITCH	"Dodge, Chrysler"															A500+	no notes available yet				600	Call for inventory	40
12A592	Transmission Part	Planetary	RING GEAR-FRT.PLANET-SMA	"Dodge, Chrysler"															A904	no notes available yet				600	Call for inventory	28
12A592A	Transmission Part	Planetary	RING GEAR-FRT.PLANET-WID	"Dodge, Chrysler"															A904+	no notes available yet				600	Call for inventory	28
12A592B	Transmission Part	Ring Gear	RING GEAR/HUB-FRONT-2 TA	"Dodge, Chrysler"															A500	no notes available yet				600	Call for inventory	28
12A594	Transmission Part	Planetary	RING GEAR-REAR PLANET	"Dodge, Chrysler"															A904+	no notes available yet				600	Call for inventory	28
12A610A			SUN GEAR-O/D-W/22PITCH G	"Dodge, Chrysler"															A500+	no notes available yet				600	Call for inventory	35
12A610AA			SUN GEAR-O/D W/ STRAIGHT	"Dodge, Chrysler"															A500+	no notes available yet				600	Call for inventory	20
12A610AB			SUN GEAR-O/D-W/LATER PIT	"Dodge, Chrysler"															A500+	no notes available yet				600	Call for inventory	35
12A612B	Transmission Part	Sungear	SUN GEAR-W/O SHELL WIDER	"Dodge, Chrysler"															A904+	no notes available yet				600	Call for inventory	18
